04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 06:52:38.108/IST   INFO -  PriceAction - 4014# laha1 traded with the market maker for 0 of IPL11:1 changing the price from 0.1767 to 0.1592
04/07 06:52:38.108/IST   INFO -  PriceAction - 4015# laha1 traded with the market maker for 0 of IPL11:5 changing the price from 0.2975 to 0.268
04/07 06:52:38.108/IST   INFO -  PriceAction - 4016# laha1 traded with the market maker for -8.21 of IPL11:8 changing the price from 0.1025 to 10
04/07 06:52:38.108/IST   INFO -  PriceAction - 4017# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.1095 to 0.0987
04/07 06:52:38.109/IST   INFO -  PriceAction - 4018# laha1 traded with the market maker for 0 of IPL11:9 changing the price from 99 to 89.1914
04/07 06:52:38.109/IST   INFO -  PriceAction - 4019# laha1 traded with the market maker for 0 of IPL11:7 changing the price from 0.0505 to 0.0455
04/07 06:52:38.109/IST   INFO -  PriceAction - 4020# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.0801 to 0.0722
04/07 06:52:38.109/IST   INFO -  PriceAction - 4021# laha1 traded with the market maker for 0 of IPL11:6 changing the price from 0.1266 to 0.1141
04/07 06:52:38.110/IST   INFO -  PriceAction - 4022# laha1 traded with the market maker for 0 of IPL11:4 changing the price from 0.0565 to 0.0509
04/07 06:52:38.167/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:52:38.168/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:1: 0, IPL11:5: 0, IPL11:8: 10, IPL11:3: 0, IPL11:9: 89, IPL11:7: 0, IPL11:2: 0, IPL11:6: 0, IPL11:4: 0
04/07 06:52:38.169/IST   WARN -    UserError - 4023# told laha1 "Bought -8.21 from MarketMaker.".
04/07 06:52:38.266/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 06:53:10.354/IST  DEBUG -      Trading - laha1 wants to sell 9 with limit of 100 @ 20.
04/07 06:53:10.387/IST   INFO -  PriceAction - 4042# laha1 traded with the market maker for 0 of IPL11:2 changing the price from 0.0722 to 0.5344
04/07 06:53:10.388/IST   INFO -  PriceAction - 4043# laha1 traded with the market maker for 0 of IPL11:3 changing the price from 0.0987 to 0.7304
04/07 06:53:10.388/IST   INFO -  PriceAction - 4044# laha1 traded with the market maker for 0 of IPL11:4 changing the price from 0.0509 to 0.3769
04/07 06:53:10.389/IST   INFO -  PriceAction - 4045# laha1 traded with the market maker for 0 of IPL11:8 changing the price from 10 to 74.0152
04/07 06:53:10.389/IST   INFO -  PriceAction - 4046# laha1 traded with the market maker for 0 of IPL11:1 changing the price from 0.1592 to 1.1782
04/07 06:53:10.390/IST   INFO -  PriceAction - 4047# laha1 traded with the market maker for 79.976 of IPL11:9 changing the price from 89.1914 to 20
